"";"kolarstwo1";"kolarstwo2";"kolarstwo3";"kolarstwo4";"muzyka1";"muzyka2";"muzyka3";"muzyka4";"Pi³kaNo¿na1";"Pi³kaNo¿na2";"Pi³kaNo¿na3";"Pi³kaNo¿na4";"SprzêtElektroniczny1";"SprzêtElektroniczny2";"SprzêtElektroniczny3";"SprzêtElektroniczny4";"Szachy1";"Szachy2";"Szachy3";"Szachy4"
"albert";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"aleksandrii";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alfabet";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"algebra";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"algierski";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"alkohol";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"all";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alleluja";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alternate";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"alzheimer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"amadeusza";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amator";3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambitny";0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amd";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"amerykañski";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"amerykañskie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"aminokwas";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"among";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"analityczny";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
"analityk";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"analiza";0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"analizowaæ";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"analizuj¹c";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"anatomia";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ang";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"angielski";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"angli¹";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"anglii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"angloanalitycznej";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"anglosaski";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"ani¿eli";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"anomalia";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"antonio";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anulowaæ";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"aplikacja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"apogeum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"apollo";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"arantes";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"arbitralny";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"archaeology";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"archeolog";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"archeologia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"archeomuzykolodzy";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"architektoniczny";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"arcymistrz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"argentynie";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"argentyñczyk";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"aria";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"armani";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"art";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"artykulacja";0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
"artyku³";0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"artysta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
"arytmetyczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"aspekt";0;0;0;2;0;0;0;1;1;0;0;1;0;0;0;0;2;0;0;1
"association";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"associations";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"astaira";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astrologia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astronomiczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"atak";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"atakowaæ";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aten";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"atmosfera";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"atp";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aulos";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aulosu";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ausdruckszeichen";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"australii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"autentyczny";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"auto";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"autoekspresjê";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"autorstwo";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ave";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"awaryjny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"awokado";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"azjaci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"azjatycki";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"azji";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"bach";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bacha";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bachów";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"badacz";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0
"badana";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"badanie";1;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;7;0;0;1
"badawczy";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"bajka";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ballada";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"balonami";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"baran";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"barbarzyñstwo";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bardziej";2;3;0;1;1;0;3;4;1;0;0;0;1;1;0;2;2;0;2;2
"barok";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"barokowy";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bartel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"barwa";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"barwy";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"basketball";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bateria";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"bawiæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"bayernu";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"baza";1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bazia";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bazowaæ";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b¹dŸ";0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1
"bedeutungszeichen";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"been";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"beethovena";0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
"behawiorysta";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"believe";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bell";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"benjamin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"berlina";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"betancort";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bezpieczny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"bezp³atny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bezpoœredni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0
"beztlenowy";0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêben";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêd¹c";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêd¹c¹";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêd¹ce";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêd¹cych";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêdê";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"bêdziecie";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"bêdziemy";0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"bia³ka";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bia³ko";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bia³kowy";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biblijny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bidon";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegaæ";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegowy";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bierki";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"bie¿¹cy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bilans";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"biochemia";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biochemiczny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biomechanika";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bior¹c";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"biosemiotyka";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitcoina";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"black";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bliski";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
"bli¿ej";0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
"blokowaæ";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"blues";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³¹d";1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"b³yskawiczny";0;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;10;0;0
"b³yszczeæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"boczny";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bodziec";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"bogate";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bogini";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bogurodzica";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boisko";0;0;0;0;0;0;0;0;2;10;2;1;0;0;0;0;0;0;0;0
"boiskowy";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"boleæ";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boles³awa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bombardowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"boniek";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"boom";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"borga";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bosy";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bóg";0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"ból";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bóstwo";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bracelony";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"braæ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"brak";2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brakuje";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bramka";0;0;0;0;0;0;0;0;1;5;0;3;0;0;0;0;0;0;0;0
"bramkarz";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"bramkowy";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"bransoleta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bran¿a";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"brass";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"brazylia";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"brazyliê";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"brazylii";0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"brazylijczyk";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"br¹zowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"brevis";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"britney";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"broda";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brown";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"brytanii";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"brytyjski";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"brzesko";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"brzmi¹cy";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"brzmieæ";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"brzmienie";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brzuch";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"buccina";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budowa";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budowaæ";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bu³eczka";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"burmistrz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"buta";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byæ";0;0;0;0;0;0;2;2;1;0;0;1;0;0;0;1;0;0;0;0
"byly";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bynajmniej";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bystroœæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"bystry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"byt";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"bywaæ";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"cage";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"ca³kiem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"ca³kowity";0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
"ca³oœæ";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"ca³y";2;0;0;2;0;1;2;0;4;0;3;1;2;3;2;0;0;2;1;0
"cambridge";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"camus";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"carlsena";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"cech";0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
"cecha";0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"cechowaæ";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cel";3;2;1;1;0;2;2;6;2;1;0;0;1;0;1;1;0;1;1;0
"cela";0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"celowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"celowoœæ";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"cena";0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"cenny";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"centralny";0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
"centrum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"ceremonia";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ceremonia³";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cesarski";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"charakter";1;0;0;1;1;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0
"charakteryzowaæ";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"charles";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"charlesa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"chc¹c";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"chcieæ";0;1;5;1;0;0;1;1;0;0;0;0;1;10;0;0;0;1;2;1
"cheironomia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chess";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"chêæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"china";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"chiñski";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"chipset";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"ch³odny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"ch³odziæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"ch³opiec";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"chocia¿";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"chocia¿by";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"choæby";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"chodziæ";0;0;0;0;2;2;3;0;0;0;0;0;0;3;0;0;0;2;0;0
"chopin";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chopina";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chora³";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chordofon";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"choroba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"chory";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"chowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"chór";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chroniczny";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chroniæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"chronologiczny";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
